Object ID,RA,DEC,$g_0$,$r_0$,$i_0$,$z_0$,distance,$p_\mathrm{BHB}$
994953737,345.969096,-42.549333,20.89,21.08,21.26,21.35,118.9,0.0
999753919,346.598197,-42.483844,19.32,19.54,19.73,19.78,56.18,0.95
999777071,346.818066,-42.73914,19.98,20.14,20.3,20.33,79.45,0.97
995168807,348.283024,-43.37528,17.19,17.5,17.74,17.84,17.53,0.98
998800330,347.896323,-43.028549,17.66,17.89,18.09,18.19,25.66,0.0
1001308502,349.326354,-43.156899,17.41,17.73,17.93,18.07,18.91,0.0
998795299,348.005177,-42.971495,20.24,20.36,20.5,20.6,90.63,0.0
998786086,347.917693,-42.875529,18.55,18.69,18.85,18.93,41.12,0.0
998773023,347.836941,-42.732092,17.52,17.66,17.82,17.89,25.72,0.0
1001283704,348.96149,-42.916494,18.6,18.65,18.75,18.8,43.2,0.0
1006896240,350.923266,-44.445579,16.14,16.44,16.6,16.69,11.27,0.99
1006875708,350.501351,-44.239954,18.97,19.08,19.21,19.29,50.45,0.0
1006855258,350.693181,-44.028531,18.01,18.18,18.34,18.38,31.78,1.0
1006702334,350.850089,-43.880835,20.44,20.55,20.7,20.77,99.33,0.01
1010667732,352.775706,-44.693015,20.9,21.13,21.31,21.43,115.7,0.0
1008443504,351.377488,-44.210782,18.67,18.79,18.91,18.94,44.02,1.0
1008442749,351.848334,-44.199508,20.23,20.31,20.41,20.49,90.85,0.0
1008415577,351.519417,-43.909101,17.59,17.67,17.8,17.82,27.04,1.0
1006690428,351.164165,-43.750459,18.38,18.45,18.55,18.58,38.95,1.0
1003528087,349.479169,-43.410983,18.46,18.78,19.04,19.15,29.71,0.76
1003508997,349.525113,-43.216668,19.58,19.63,19.74,19.79,67.79,0.0
1003542118,350.266605,-43.543191,20.33,20.55,20.76,20.83,90.1,0.04
1006534912,350.607568,-43.481137,16.71,17.0,17.23,17.3,15.07,1.0
1006532045,350.711109,-43.4485,17.33,17.49,17.63,17.67,23.31,1.0
1006527038,350.769951,-43.391827,19.37,19.47,19.6,19.68,61.0,0.0
1003204741,349.896554,-42.918464,17.22,17.43,17.61,17.65,21.6,1.0
1008032375,351.035984,-43.016094,17.52,17.69,17.87,17.96,25.52,0.0
1008296186,351.788215,-43.683259,16.97,17.1,17.24,17.32,20.09,0.0
1008299803,352.112676,-43.724034,19.14,19.26,19.39,19.41,54.74,1.0
1011827570,352.430314,-43.676763,16.46,16.53,16.61,16.65,16.08,0.99
1011807406,352.359028,-43.457418,18.88,19.01,19.14,19.16,48.13,0.99
1009130845,352.35616,-42.956555,18.57,18.65,18.75,18.78,42.45,1.0
1040405950,346.255842,-41.937438,20.13,20.25,20.41,20.51,86.08,0.0
1040403983,346.313366,-41.916731,20.73,20.94,21.13,21.2,109.25,0.02
993940805,346.781043,-42.145439,16.04,16.21,16.4,16.5,12.78,0.0
993934330,346.86547,-42.078519,16.74,16.91,17.06,17.15,17.81,0.0
996015954,346.646932,-41.657095,20.88,20.99,21.12,21.2,122.16,0.0
1000568714,349.318879,-42.416419,16.0,16.19,16.35,16.4,12.53,1.0
1039674098,347.820358,-41.829354,20.39,20.52,20.65,20.69,96.77,0.73
993594328,347.732571,-41.529096,19.02,19.18,19.34,19.44,50.84,0.0
1039680242,348.602612,-41.885473,20.92,21.16,21.35,21.52,114.83,0.0
1039676433,348.574933,-41.852456,18.23,18.31,18.44,18.52,36.22,0.0
1000516595,348.721543,-41.845297,19.32,19.42,19.54,19.6,59.4,0.0
1000508013,348.776815,-41.761216,16.45,16.65,16.83,16.87,15.14,1.0
1000511182,349.277575,-41.788355,19.26,19.39,19.52,19.57,57.57,0.39
995959070,346.315032,-41.068273,18.85,19.1,19.32,19.42,43.07,0.0
993577006,347.052315,-41.361743,18.81,18.93,19.06,19.13,46.98,0.0
993575180,347.141093,-41.34357,19.82,20.0,20.16,20.2,72.8,0.97
993583249,347.273068,-41.423432,19.84,19.98,20.14,20.17,74.99,0.98
993565650,347.296942,-41.253826,19.56,19.76,19.95,20.03,63.95,0.0
992526010,347.169355,-40.496042,20.83,21.09,21.31,21.39,108.11,0.0
997842959,347.994914,-41.375962,17.14,17.39,17.61,17.73,19.69,0.0
997831920,347.839836,-41.262883,18.22,18.33,18.47,18.5,35.64,1.0
1001360165,349.047057,-41.556115,18.47,18.7,18.9,18.99,37.74,0.0
1001347434,348.98964,-41.416596,17.1,17.17,17.28,17.36,21.54,0.0
992532022,347.752645,-40.57524,19.1,19.33,19.51,19.57,50.38,0.99
992678351,348.606024,-40.939135,19.79,19.91,20.06,20.15,73.33,0.0
1000624594,348.895065,-40.912503,16.63,16.69,16.78,16.85,17.35,0.0
1000619346,349.289468,-40.853044,20.81,21.07,21.3,21.39,106.35,0.01
1002639200,349.690973,-42.465597,17.59,17.72,17.86,17.95,26.57,0.0
1002651157,349.879669,-42.579586,19.83,19.99,20.15,20.25,73.98,0.0
1000567810,349.568775,-42.401738,19.64,19.75,19.89,19.99,68.74,0.0
1003178153,350.326329,-42.654025,18.02,18.08,18.2,18.27,33.08,0.0
1004213634,350.306616,-42.322918,19.22,19.43,19.61,19.66,54.34,1.0
1004178131,350.038445,-41.945196,18.46,18.54,18.67,18.75,40.31,0.0
1006627979,350.651252,-42.227159,19.79,19.86,19.98,20.04,74.56,0.0
1006631802,350.717511,-42.268512,17.13,17.34,17.52,17.56,20.73,1.0
1006601042,351.007459,-41.959021,17.11,17.26,17.4,17.43,21.21,1.0
1006594858,350.964163,-41.90236,17.85,17.95,18.09,18.18,30.13,0.0
1006638247,351.491431,-42.32997,17.0,17.23,17.43,17.53,19.08,0.0
1009292938,351.815158,-41.927675,16.35,16.49,16.63,16.71,15.04,0.0
1012309059,352.540725,-42.217772,17.23,17.3,17.41,17.5,22.89,0.0
1004360933,350.167992,-41.330328,18.9,18.96,19.08,19.14,49.48,0.0
1000632627,349.435252,-40.995496,20.08,20.33,20.57,20.66,75.71,0.04
1009286894,351.921067,-41.862246,20.09,20.14,20.23,20.25,85.78,0.98
1009284481,351.896388,-41.837215,20.72,20.9,21.05,21.15,110.07,0.0
1006420563,351.432835,-41.386053,18.11,18.21,18.34,18.4,34.11,0.0
